Accelerometer X,Accelerometer Y,Accelerometer Z
-0.031,1.0,-0.086
-0.02,0.996,-0.09
-0.02,0.977,-0.094
-0.027,0.992,-0.09
0.004,1.0,-0.051
-0.012,0.988,-0.102
-0.016,0.965,-0.105
-0.02,1.02,-0.082
-0.031,0.988,-0.082
-0.043,0.996,-0.09
-0.047,0.988,-0.094
-0.047,0.977,-0.098
-0.043,1.0,-0.09
-0.035,1.0,-0.086
-0.047,0.996,-0.082
-0.039,0.988,-0.082
-0.043,0.965,-0.078
-0.023,1.008,-0.074
-0.016,1.012,-0.078
-0.016,1.02,-0.07
-0.02,1.004,-0.082
-0.012,0.977,-0.078
-0.012,0.992,-0.059
-0.027,0.98,-0.047
-0.043,0.988,-0.055
-0.047,0.969,-0.063
-0.027,1.008,-0.055
-0.02,1.008,-0.059
-0.004,0.977,-0.047
0.008,0.977,-0.051
-0.023,0.98,-0.063
-0.047,0.996,-0.047
-0.059,1.023,-0.039
-0.074,1.008,-0.051
-0.039,0.996,-0.031
-0.047,0.996,-0.027
-0.063,0.961,-0.02
-0.023,0.992,0.023
0.023,1.023,0.078
0.027,1.047,0.09
0.016,1.004,0.09
0.047,0.957,0.086
0.078,0.926,0.094
0.082,0.98,0.082
0.055,1.012,0.066
0.031,0.996,0.09
0.043,1.012,0.121
0.035,1.016,0.137
0.027,0.996,0.121
0.023,0.961,0.129
0.031,0.945,0.152
0.031,0.984,0.156
0.035,1.063,0.18
-0.012,1.027,0.156
0.012,0.973,0.16
0.031,0.922,0.172
0.102,0.926,0.164
0.086,1.0,0.141
0.094,1.016,0.109
0.059,0.957,0.125
0.059,0.941,0.141
0.094,1.016,0.098
0.113,1.129,0.004
0.152,1.207,0.027
0.148,1.098,-0.078
0.105,0.859,-0.129
0.086,0.832,-0.098
0.07,0.914,-0.113
0.035,1.043,-0.156
0.051,1.008,-0.137
-0.004,0.977,-0.148
-0.004,0.922,-0.145
0.0,0.977,-0.109
0.004,1.0,-0.086
0.016,0.953,-0.074
-0.012,0.938,-0.098
-0.008,0.938,-0.09
-0.008,0.871,-0.082
-0.129,0.957,-0.07
-0.18,0.969,-0.07
-0.172,0.941,-0.051
-0.148,0.992,-0.039
-0.094,0.957,-0.023
-0.102,1.0,-0.016
-0.086,1.027,-0.039
-0.059,0.992,-0.07
-0.066,0.992,-0.074
0.004,1.082,-0.137
0.254,1.289,-0.152
0.266,1.398,-0.129
-0.102,0.984,-0.27
-0.168,0.727,-0.234
0.066,0.855,-0.086
0.246,1.055,-0.051
0.313,0.945,-0.055
0.328,0.852,-0.02
0.324,0.922,0.004
0.191,0.984,0.02
0.074,0.949,-0.016
0.047,0.953,0.016
0.074,1.023,0.035
0.078,0.965,0.094
0.035,0.961,0.09
0.082,0.961,0.09
0.109,0.988,0.113
0.074,0.984,0.141
0.035,1.031,0.215
0.027,1.055,0.191
0.082,1.055,0.199
0.098,1.105,0.246
0.035,1.109,0.262
