------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.9.2 date format yyyy-MM-dd at 30 Hz  -----------
Serial Number: MOS2E28230210
Start Time 14:32:00
Start Date 2025-10-09
Epoch Period (hh:mm:ss) 00:00:00
Download Time 15:43:59
Download Date 2025-10-09
Current Memory Address: 0
Current Battery Voltage: 0     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.117,1.02,-0.043
0.063,0.984,-0.109
-0.023,1.02,-0.141
-0.016,0.977,-0.133
-0.016,1.008,-0.078
-0.039,0.965,-0.129
-0.012,1.004,-0.07
0.066,0.992,-0.012
0.063,0.992,-0.078
0.008,1.023,-0.004
-0.098,0.98,-0.227
-0.07,0.98,-0.145
0.027,1.027,-0.02
-0.012,1.016,-0.059
-0.039,0.98,-0.113
-0.078,1.066,0.02
-0.047,1.148,-0.043
-0.051,1,-0.148
-0.059,1.102,0.066
0.094,0.996,-0.043
-0.051,1.066,-0.102
0,0.922,-0.137
0.02,0.871,-0.168
-0.023,1.086,-0.07
0.004,1.063,-0.008
0.09,1.023,-0.063
0.129,1.113,-0.082
0.129,0.977,-0.078
0.066,0.91,-0.109
-0.008,0.949,-0.18
0.074,0.918,-0.055
-0.141,0.98,-0.066
-0.125,0.965,-0.27
-0.012,0.973,-0.164
-0.07,1.027,-0.047
-0.07,1.086,-0.094
-0.051,0.988,-0.18
-0.098,1.156,-0.074
0.059,1.125,0.133
0.059,0.754,-0.211
-0.004,0.824,-0.281
-0.133,0.84,-0.324
-0.324,1.301,-0.043
-0.203,1.234,0.195
-0.359,1.156,-0.102
-0.66,0.883,-0.023
-0.191,0.781,-0.074
0.277,1.18,0.117
0.082,1.094,0.355
0.43,0.941,0.352
0.648,0.813,0.566
0.453,0.309,0.184
0.176,1.395,-0.129
-0.137,1.273,0.02
0.059,0.973,0.051
-0.164,1.121,0.156
-0.008,0.891,-0.277
0.051,0.898,0.176
0.023,0.938,0.281
0.188,0.93,-0.117
-0.055,1.105,-0.004
0.012,0.887,-0.164
-0.082,1.059,0.145
-0.078,1.176,0.047
0.051,0.91,-0.047
0.004,0.844,0
-0.148,0.934,0.109
0.023,1.02,0.41
0.125,0.551,-0.441
0.227,1.195,0.094
