Accelerometer X,Accelerometer Y,Accelerometer Z
-0.055,1.02,0.16
-0.031,1.023,0.207
-0.016,1.059,0.18
-0.094,1.109,0.035
-0.137,1.176,-0.023
-0.055,1.031,0.016
-0.184,1.004,-0.008
-0.289,0.969,-0.094
-0.117,0.848,-0.148
-0.031,0.934,-0.121
-0.102,0.961,-0.133
-0.121,0.938,-0.152
-0.102,0.961,-0.156
-0.113,0.957,-0.16
-0.125,0.941,-0.164
-0.145,0.93,-0.176
-0.164,0.926,-0.195
-0.168,0.934,-0.188
-0.176,0.965,-0.176
-0.195,0.957,-0.156
-0.246,0.953,-0.168
-0.254,0.941,-0.16
-0.242,0.941,-0.18
-0.227,0.98,-0.156
-0.219,0.98,-0.152
-0.215,0.992,-0.148
-0.223,0.961,-0.164
-0.25,0.922,-0.168
-0.266,0.93,-0.168
-0.258,0.93,-0.156
-0.25,0.953,-0.156
-0.246,0.969,-0.152
-0.234,0.973,-0.148
-0.195,0.945,-0.156
-0.172,0.93,-0.16
-0.164,0.926,-0.168
-0.168,0.945,-0.152
-0.152,0.977,-0.094
-0.172,0.973,-0.07
-0.211,0.965,-0.055
-0.184,0.98,-0.02
-0.125,1.008,0.004
-0.121,0.992,-0.004
-0.145,0.996,-0.008
-0.148,1,0.027
-0.137,1.016,0.063
-0.129,1.039,0.09
-0.121,1.039,0.082
-0.09,1.051,0.098
-0.066,1,0.09
-0.055,0.98,0.098
-0.105,0.957,0.094
-0.109,0.969,0.109
-0.086,0.988,0.121
-0.074,1.004,0.121
-0.047,1.008,0.129
-0.031,0.988,0.125
-0.016,0.98,0.129
-0.012,0.988,0.145
-0.008,1,0.156
-0.004,0.98,0.141
-0.004,0.98,0.137
0.004,0.98,0.137
0,0.984,0.137
-0.016,0.98,0.148
-0.004,0.969,0.125
-0.031,0.961,0.102
-0.074,0.988,0.117
-0.02,1.086,0.184
0.023,1.016,0.148
0.004,0.926,0.125
-0.023,0.918,0.148
0.016,0.977,0.156
0.027,1.02,0.148
0.02,0.996,0.137
0.02,0.984,0.137
-0.012,0.988,0.133
-0.008,0.969,0.137
0.008,0.98,0.137
-0.008,0.984,0.152
-0.008,1.004,0.148
0.008,0.992,0.121
-0.066,0.969,0.121
0.008,0.969,0.152
0,0.996,0.145
-0.027,0.992,0.137
-0.031,0.992,0.152
0.004,0.988,0.152
-0.012,0.977,0.133
-0.059,0.977,0.133
-0.043,1.008,0.137
-0.043,1.004,0.121
-0.09,0.961,0.156
-0.066,0.949,0.156
0.016,0.953,0.125
0.078,0.984,0.133
0.105,0.98,0.121
0.047,0.992,0.121
0.059,1.016,0.137
0.063,0.969,0.195
0.039,0.977,0.254
0.035,0.945,0.258
-0.004,0.969,0.254
-0.031,0.949,0.207
-0.02,1.004,0.207
0.023,1,0.207
0.09,0.969,0.211
0.066,0.957,0.203
0.004,0.969,0.211
-0.023,1.004,0.254
-0.09,1.023,0.227
-0.113,0.953,0.199
-0.094,0.965,0.184
-0.035,1.02,0.145
-0.027,1.039,0.082
-0.125,1.047,0.078
-0.176,1.047,0.098
-0.168,0.953,0.105
-0.16,0.926,0.094
-0.109,0.984,0.039
-0.063,0.977,0.004
-0.09,0.957,0.004
-0.141,0.98,0.012
-0.145,1.008,-0.008
-0.137,1.004,-0.016
-0.105,0.969,-0.023
-0.133,1.004,-0.031
-0.133,0.988,-0.047
-0.078,0.965,-0.063
-0.051,0.957,-0.074
-0.031,0.977,-0.074
-0.012,0.98,-0.094
-0.012,0.973,-0.113
0.027,0.957,-0.102
0.027,0.965,-0.098
0.004,0.992,-0.094
0.016,1,-0.086
0.043,0.98,-0.07
0.031,0.992,-0.039
-0.004,1.043,-0.031
-0.012,0.977,-0.043
-0.031,0.93,-0.039
-0.039,0.973,0
-0.098,1.082,0.027
-0.117,1.086,0.039
-0.168,0.996,0.008
-0.277,0.984,0.02
-0.266,1.004,0.102
-0.277,0.891,0.168
-0.25,0.844,0.145
-0.25,1.02,0.199
-0.289,1.168,0.156
-0.289,0.973,0.004
-0.113,0.813,0.07
0.07,0.883,0.184
0.195,1.043,0.047
0.156,1.266,-0.027
0.02,1.094,-0.074
0.055,0.863,-0.07
0.074,0.953,-0.031
-0.094,1.176,0.07
0.133,0.66,-0.16
0.012,0.871,-0.188
-0.047,1.016,-0.188
0.043,0.813,-0.258
0.09,0.992,-0.234
0.141,1.219,-0.207
0.203,1.086,-0.25
-0.078,1.125,-0.254
-0.32,1.094,-0.051
-0.25,0.891,0.043
-0.281,0.84,0.113
-0.32,0.98,0.238
-0.305,1.113,0.219
-0.012,1.152,0.211
0.09,0.949,0.145
-0.004,0.813,0.098
-0.094,0.816,0.117
0.02,0.906,0.125
0.188,0.977,0.113
0.25,0.953,0.09
0.223,0.844,0.063
0.164,0.789,0.012
0.176,1.008,0.055
0.18,0.84,0.004
0.676,1.078,0.066
0.34,1.691,0.039
0.223,1.273,-0.242
0,1.258,-0.008
-0.164,0.93,0.023
-0.043,0.895,-0.051
0.207,1.215,-0.039
0.145,1.227,0.023
0.066,0.855,-0.047
0.105,0.582,-0.094
0.242,0.566,-0.121
0.297,0.625,-0.148
0.203,0.715,-0.195
0.09,0.746,-0.215
0.125,0.945,-0.121
0.32,1.293,-0.078
0.5,1.504,-0.152
0.484,1.25,-0.207
0.047,1.23,-0.023
-0.43,1.008,0.246
-0.609,0.961,0.09
-0.453,0.949,0.086
-0.086,1.012,0.188
0.273,1.094,0.254
0.262,0.906,0.168
0.105,0.77,0.098
0.066,0.656,0.055
0.156,0.734,0.109
0.316,0.777,0.152
0.441,0.824,0.16
0.492,0.887,0.129
0.48,1.02,0.172
0.348,1.219,0.199
0.203,1.293,0.207
0.07,1.117,0.238
-0.125,0.855,0.242
0.113,1.086,0.164
0.469,1.305,0.395
0.512,1.281,0.332
0.316,1.035,0.238
0.195,0.746,0.258
0.121,0.664,0.262
0.051,0.676,0.285
0.016,0.777,0.234
0.039,0.816,0.188
0.23,0.82,0.07
0.305,0.922,0.109
0.141,1.102,0.215
-0.047,1.289,0.32
-0.145,1.352,0.34
0.016,1.117,0.359
0.18,0.777,0.332
0.199,0.664,0.313
0.043,0.855,0.375
0.035,0.945,0.27
0.16,0.867,0.168
0.211,0.934,0.172
