------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.9.2 date format yyyy-MM-dd at 30 Hz  -----------
Serial Number: MOS2E28230210
Start Time 11:48:00
Start Date 2025-10-10
Epoch Period (hh:mm:ss) 00:00:00
Download Time 12:19:19
Download Date 2025-10-10
Current Memory Address: 0
Current Battery Voltage: 4.19     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0,0.984,-0.129
-0.004,0.984,-0.133
-0.004,0.984,-0.137
-0.016,0.984,-0.137
-0.012,0.988,-0.137
-0.004,0.988,-0.133
0.008,0.98,-0.129
-0.008,0.992,-0.133
-0.008,0.984,-0.137
-0.004,1,-0.145
0,0.988,-0.141
0,0.988,-0.137
0.008,0.988,-0.137
0.004,0.992,-0.129
0.008,0.988,-0.133
0.008,0.984,-0.129
0,0.992,-0.137
0.008,0.988,-0.141
0.008,0.98,-0.141
0.012,0.984,-0.133
0.004,0.992,-0.133
0.004,0.98,-0.133
0.004,0.984,-0.133
-0.008,0.992,-0.137
-0.004,1,-0.137
-0.004,0.988,-0.145
0.008,0.977,-0.137
0.008,0.988,-0.129
0.004,0.984,-0.133
-0.012,0.988,-0.137
0,0.98,-0.133
0.008,0.984,-0.121
0.004,0.984,-0.129
0.012,0.98,-0.133
0.016,0.992,-0.129
0.008,0.992,-0.133
0.008,0.984,-0.137
0,0.984,-0.129
-0.012,0.988,-0.129
-0.008,0.988,-0.133
0.004,0.98,-0.125
0.008,0.988,-0.133
0.008,0.992,-0.137
0.02,0.98,-0.125
0.008,0.992,-0.125
0.008,0.988,-0.129
0.004,0.988,-0.137
0.012,0.984,-0.129
0.008,0.984,-0.133
0.008,0.988,-0.129
0.012,0.98,-0.137
-0.004,0.984,-0.129
0.004,0.984,-0.125
0.004,0.992,-0.133
0.016,1,-0.125
0.023,0.98,-0.129
0.02,0.996,-0.121
0.02,0.988,-0.133
0.02,0.98,-0.129
0.016,0.992,-0.137
0.012,0.992,-0.125
0.012,0.988,-0.133
0.008,0.984,-0.125
0.008,0.992,-0.137
0.008,0.992,-0.133
0.012,0.988,-0.125
0.008,0.992,-0.125
0.02,0.988,-0.121
0.012,0.984,-0.129
0.008,1,-0.125
-0.004,0.992,-0.129
0,0.988,-0.137
-0.004,0.98,-0.137
0.012,0.992,-0.137
0.023,0.992,-0.137
0.023,0.992,-0.125
0.02,0.984,-0.117
0.023,0.992,-0.105
-0.02,0.965,-0.129
-0.039,0.988,-0.125
-0.016,1.008,-0.109
0,0.941,-0.137
-0.027,0.977,-0.152
0.004,1.012,-0.109
0.008,0.961,-0.152
-0.016,0.969,-0.152
0.012,0.996,-0.121
-0.004,0.98,-0.148
-0.012,0.992,-0.133
0.004,0.996,-0.094
0,0.988,-0.109
0,0.988,-0.086
0.012,1.008,-0.066
0.012,1,-0.063
0.012,0.996,-0.043
0.012,1.012,-0.02
-0.008,1.008,-0.023
-0.008,1.008,-0.012
-0.016,0.996,-0.016
-0.012,1.004,-0.012
-0.004,1.008,-0.008
0.008,0.996,-0.008
0.008,1.004,-0.004
0,0.996,-0.008
-0.012,0.996,-0.004
-0.012,1,-0.012
-0.02,0.992,-0.016
-0.023,1,0
-0.016,0.992,-0.008
0.047,0.988,-0.016
0.055,0.98,-0.004
-0.023,1.027,-0.023
0.008,0.992,-0.027
-0.027,0.984,-0.023
-0.016,1.008,-0.031
0.035,0.992,-0.043
0.023,0.988,-0.059
-0.012,0.996,-0.074
-0.012,0.996,-0.078
0.004,0.992,-0.074
-0.004,0.988,-0.082
-0.008,0.988,-0.07
-0.004,1.008,-0.074
0.012,0.992,-0.078
0.02,0.977,-0.074
0.016,0.992,-0.051
0.023,0.984,-0.078
0.004,0.996,-0.059
0.02,0.98,-0.055
-0.004,1,-0.059
0.02,1.016,-0.055
0.016,0.984,-0.055
0.004,0.953,-0.078
0.016,1.016,-0.078
0,1.012,-0.098
0.02,0.961,-0.133
0.023,0.977,-0.148
0.016,1,-0.16
0.012,0.984,-0.18
0,0.992,-0.219
0.004,0.973,-0.238
0.012,0.945,-0.27
0.012,0.945,-0.309
-0.012,0.941,-0.344
-0.02,0.934,-0.363
0.016,0.891,-0.398
0.004,0.902,-0.43
-0.027,0.906,-0.457
0.012,0.875,-0.465
0.004,0.844,-0.484
-0.012,0.855,-0.516
-0.004,0.836,-0.504
0,0.832,-0.523
-0.012,0.848,-0.523
-0.008,0.852,-0.512
0,0.84,-0.504
-0.012,0.855,-0.52
-0.02,0.859,-0.512
-0.016,0.859,-0.5
-0.012,0.875,-0.516
-0.008,0.852,-0.508
-0.012,0.855,-0.504
-0.008,0.855,-0.504
-0.004,0.855,-0.512
-0.008,0.855,-0.508
-0.008,0.852,-0.508
-0.012,0.848,-0.508
-0.012,0.852,-0.508
-0.012,0.844,-0.52
0,0.844,-0.508
-0.004,0.844,-0.516
-0.008,0.848,-0.516
-0.012,0.852,-0.512
-0.012,0.855,-0.512
-0.004,0.863,-0.512
-0.008,0.855,-0.512
0,0.852,-0.508
0.004,0.852,-0.508
0.012,0.848,-0.512
-0.004,0.852,-0.512
-0.008,0.855,-0.508
-0.004,0.855,-0.508
0.004,0.848,-0.523
0.008,0.848,-0.516
0.008,0.844,-0.523
0.004,0.848,-0.523
0.004,0.84,-0.527
0,0.844,-0.531
0.008,0.832,-0.527
0.008,0.84,-0.539
0,0.84,-0.547
-0.004,0.824,-0.547
0.012,0.82,-0.543
0.02,0.824,-0.559
0.008,0.809,-0.559
0.004,0.824,-0.559
0.008,0.82,-0.555
0.02,0.828,-0.559
0.012,0.824,-0.559
0.012,0.828,-0.551
0.02,0.828,-0.551
0.023,0.828,-0.559
0.012,0.832,-0.551
0.023,0.824,-0.543
0.02,0.84,-0.555
0.008,0.828,-0.547
0.012,0.82,-0.555
0.012,0.828,-0.555
0.008,0.828,-0.555
0.012,0.832,-0.551
0.016,0.82,-0.547
0.012,0.816,-0.559
0.02,0.832,-0.551
0.016,0.824,-0.547
0.012,0.824,-0.555
0.012,0.816,-0.555
0.008,0.824,-0.551
0.02,0.832,-0.555
0,0.824,-0.555
0.004,0.832,-0.551
0.02,0.824,-0.547
0.016,0.828,-0.555
0,0.828,-0.547
0.008,0.832,-0.551
0.016,0.828,-0.551
0.004,0.828,-0.555
0.016,0.828,-0.551
0.016,0.832,-0.547
0.008,0.82,-0.555
0.004,0.824,-0.551
0.012,0.832,-0.555
0.016,0.82,-0.547
0,0.824,-0.555
0.008,0.816,-0.547
0.012,0.836,-0.551
0.012,0.824,-0.559
-0.004,0.816,-0.555
0.004,0.824,-0.555
0.012,0.832,-0.559
0.012,0.824,-0.555
0.012,0.82,-0.551
0.012,0.824,-0.559
0.016,0.813,-0.563
0.004,0.82,-0.559
0.016,0.813,-0.555
0.012,0.816,-0.563
0.008,0.82,-0.563
0.016,0.816,-0.559
0.008,0.82,-0.559
0.012,0.82,-0.563
0.008,0.82,-0.563
0.008,0.82,-0.555
-0.008,0.82,-0.57
0.012,0.809,-0.563
0.008,0.809,-0.563
0.004,0.813,-0.563
0.008,0.82,-0.574
0.027,0.805,-0.563
0.023,0.805,-0.57
0.008,0.824,-0.578
0.012,0.809,-0.563
0.023,0.805,-0.566
0.016,0.816,-0.559
0.016,0.824,-0.563
0.02,0.832,-0.559
0.02,0.82,-0.559
0.012,0.82,-0.559
0.023,0.824,-0.559
0.023,0.816,-0.559
0.02,0.813,-0.563
0.016,0.816,-0.566
0.02,0.816,-0.559
0.02,0.816,-0.563
0.016,0.816,-0.563
0.016,0.813,-0.559
0.012,0.82,-0.566
0.02,0.813,-0.559
0.016,0.82,-0.563
0.02,0.816,-0.559
0.02,0.824,-0.563
0.02,0.82,-0.559
0.02,0.816,-0.559
0.02,0.816,-0.566
0.023,0.809,-0.559
0.012,0.824,-0.559
0.016,0.82,-0.559
0.02,0.809,-0.563
0.012,0.82,-0.566
0.012,0.813,-0.566
0.008,0.816,-0.563
0.02,0.809,-0.566
0.016,0.82,-0.566
0.012,0.813,-0.574
0.012,0.809,-0.563
0.008,0.828,-0.566
0.016,0.809,-0.566
0.012,0.809,-0.563
0.012,0.824,-0.563
0.008,0.813,-0.563
0.012,0.813,-0.566
0.008,0.82,-0.566
0.004,0.813,-0.563
0.004,0.805,-0.566
0.008,0.816,-0.563
0.004,0.82,-0.559
0.004,0.813,-0.57
0,0.824,-0.563
0.008,0.816,-0.566
0.012,0.813,-0.566
0.012,0.82,-0.566
0.012,0.809,-0.57
0.004,0.809,-0.566
-0.004,0.82,-0.57
0.008,0.813,-0.57
0.004,0.813,-0.563
0.008,0.809,-0.574
-0.004,0.813,-0.574
0.008,0.809,-0.574
0.016,0.805,-0.563
0.012,0.813,-0.578
0,0.809,-0.566
0.004,0.809,-0.566
0.004,0.805,-0.574
0,0.809,-0.566
0.004,0.816,-0.574
0.008,0.813,-0.563
0.008,0.813,-0.57
0,0.805,-0.574
0.004,0.813,-0.559
0,0.816,-0.566
0,0.813,-0.57
0,0.82,-0.566
-0.008,0.813,-0.563
0.012,0.813,-0.563
0.008,0.816,-0.563
0.004,0.82,-0.559
0.008,0.82,-0.559
0.012,0.824,-0.566
0.012,0.82,-0.555
0.012,0.84,-0.57
0.004,0.824,-0.559
-0.004,0.824,-0.563
-0.004,0.816,-0.574
-0.004,0.813,-0.559
0.012,0.813,-0.559
-0.004,0.816,-0.563
0.008,0.809,-0.559
0.02,0.813,-0.555
0.012,0.809,-0.559
0.008,0.813,-0.563
0.008,0.813,-0.559
0.008,0.82,-0.559
0.008,0.813,-0.566
0.023,0.813,-0.563
0.016,0.84,-0.57
0.012,0.813,-0.57
0.02,0.805,-0.563
0.016,0.82,-0.574
0.008,0.816,-0.59
0.012,0.793,-0.586
0.016,0.789,-0.586
0.004,0.793,-0.602
0,0.793,-0.613
0.004,0.781,-0.613
0.016,0.77,-0.621
0.012,0.773,-0.633
0.02,0.758,-0.633
0.023,0.754,-0.625
0.027,0.77,-0.633
0.023,0.777,-0.637
0.027,0.766,-0.633
0.031,0.766,-0.629
0.027,0.754,-0.629
0.027,0.77,-0.625
0.023,0.773,-0.625
0.031,0.773,-0.602
0.027,0.773,-0.574
0.035,0.789,-0.531
0.047,0.871,-0.512
0.035,0.934,-0.352
-0.047,0.68,-0.164
0.047,1.016,-0.18
0.066,0.98,-0.156
0.063,1.02,-0.172
0.07,0.973,-0.164
0.078,0.977,-0.164
0.07,0.973,-0.16
0.051,0.98,-0.156
0.055,0.988,-0.156
0.059,0.977,-0.137
0.039,0.98,-0.133
0.047,0.992,-0.121
0.047,0.988,-0.117
0.066,0.984,-0.109
0.063,0.992,-0.109
0.055,0.992,-0.102
0.059,1,-0.098
0.059,0.992,-0.102
0.047,0.969,-0.105
0.086,1.027,-0.09
0.078,0.988,-0.098
0.027,0.973,-0.086
0.047,0.992,-0.109
0.031,0.996,-0.109
0.055,0.984,-0.113
0.043,0.984,-0.121
0.055,0.992,-0.125
0.063,1.027,-0.156
0.094,0.992,-0.152
0.113,0.996,-0.168
0.145,1,-0.168
0.156,0.969,-0.195
0.137,0.961,-0.172
0.109,0.949,-0.168
0.082,0.969,-0.188
0.055,0.988,-0.168
0.012,0.953,-0.195
-0.012,0.914,-0.164
-0.008,0.957,-0.191
0.023,0.996,-0.199
0.043,0.977,-0.207
0.043,0.941,-0.211
0.047,0.93,-0.227
0.055,0.926,-0.238
0.055,0.914,-0.234
0.043,0.922,-0.25
0.039,0.91,-0.273
0.047,0.926,-0.266
0.047,0.926,-0.266
0.051,0.941,-0.281
0.047,0.953,-0.238
0.043,1.012,-0.25
0.059,0.996,-0.227
0.082,1.039,-0.188
0.094,1.109,-0.18
0.105,1,-0.09
0.078,0.895,-0.055
0.074,0.953,-0.043
0.09,1,-0.004
0.082,1,0.008
0.07,0.996,0.008
0.063,1,0.008
0.059,0.996,-0.012
0.031,1,0.012
0.02,1,0
0.008,0.996,-0.008
0,1.023,0
-0.023,1.035,-0.008
-0.027,1.004,-0.004
-0.027,1.008,0.012
-0.02,1.008,0
-0.004,0.992,0.016
0.016,1.012,-0.004
